"","Drill bit","Mean Thrust","Mean Torque","Degradation","Max Thrust","Max Torque","Area","Correlation","RUL"
"199","d3h1","215.491266137566","13.1937655026455","0.0473684210526316","311.93","27.26","4580.23956227","0.573100505512339","19"
"200","d3h10","253.611283544974","20.4686510582011","0.0473684210526316","409.69","31.582","4368.69269426656","0.837967499219331","10"
"201","d3h11","278.503663874346","22.1758917277487","0.0478696741854637","439.59","35.571","4974.06208283","0.83183743315338","9"
"202","d3h12","292.131605492228","23.8167082901554","0.0483709273182957","468.07","37.898","5265.07086514996","0.863188488591139","8"
"203","d3h13","290.1311390625","23.5857484375","0.0481203007518797","460.95","38.23","4838.60390475008","0.866529333200829","7"
"204","d3h14","292.851398969072","23.8258608247423","0.0486215538847118","479.46","38.563","5095.67975082994","0.862725770384108","6"
"205","d3h15","297.773660974359","24.0429302564103","0.0488721804511278","485.15","37.565","4857.75289941009","0.87693796255405","5"
"206","d3h16","300.647142436548","24.0114370558376","0.0493734335839599","495.12","38.23","4446.31421277102","0.889462750863984","4"
"207","d3h17","315.411836","24.2646585","0.050125313283208","532.96","37.565","4656.46471311001","0.902815993847213","3"
"208","d3h18","306.010062561576","25.3078743842365","0.0508771929824561","505.24","40.89","4981.02856675","0.901795797491382","2"
"209","d3h19","341.7170647343","28.0596652173913","0.0518796992481203","566.5","43.217","6691.03997707996","0.86473764100182","1"
"210","d3h2","233.680913043478","17.7276445108696","0.0461152882205514","359.92","29.587","4886.72017452004","0.720454209552753","18"
"211","d3h20","312.163481375358","25.9977911174785","0.087468671679198","909.16","83.442","9209.48462004401","0.817121248286929","0"
"212","d3h3","242.661258864865","18.5266804324324","0.0463659147869674","379.12","30.917","4904.08423016011","0.768642950030272","17"
"213","d3h4","242.292044193548","19.0579979569892","0.0466165413533835","375","33.909","5292.49889341008","0.757233202583461","16"
"214","d3h5","249.551154301075","19.6084640322581","0.0466165413533835","381.86","32.579","4964.63144257502","0.791876076253605","15"
"215","d3h6","245.86467486631","20.038740802139","0.0468671679197995","385.97","32.246","4796.483928064","0.800909516347936","14"
"216","d3h7","248.424440645161","21.1902268817204","0.0466165413533835","391.46","34.574","5441.97559474804","0.756534350174522","13"
"217","d3h8","252.051348128342","20.6627139037433","0.0468671679197995","394.2","32.579","4773.38293775998","0.805992392508756","12"
"218","d3h9","251.475814736842","20.6199196842105","0.0476190476190476","401.15","34.906","4955.76900227508","0.815331641186861","11"
"219","d4h1","228.299391509434","13.5813378301887","0.058612109482997","383.14","27.925","4670.08729798353","0.778695748706606","15"
"220","d4h10","289.733594859813","19.6045271962617","0.0591650539120818","494.98","34.241","4593.97398615594","0.895544260108733","6"
"221","d4h11","289.481814027149","19.5070209502262","0.0611003594138789","505.07","34.241","4483.03259235097","0.905580507973678","5"
"222","d4h12","299.31344954955","20.0031683333333","0.0613768316284213","525.49","33.909","4238.38581422099","0.919180719425766","4"
"223","d4h13","252.76187443609","17.2442995112782","0.0735416090682886","521.11","37.565","4947.970555407","0.9370139619502","3"
"224","d4h14","314.062864573991","21.0434622869955","0.0616533038429638","545.91","36.568","5415.547467942","0.910991166842372","2"
"225","d4h15","327.093013675214","22.4722420940171","0.0646944982029306","588.21","41.222","6241.01810454507","0.884020592509325","1"
"226","d4h16","518.218493023256","40.8202512790698","0.0475532209012994","846.04","82.445","1828.46600169968","0.953121568761449","0"
"227","d4h2","253.69034","15.95703675","0.0552944429084877","418.09","27.592","4606.01876590651","0.823618660144362","14"
"228","d4h3","247.020308029197","16.2498386861314","0.113630080176942","418.09","28.257","9153.886096815","0.843697853392481","13"
"229","d4h4","264.5725735","17.62582595","0.0552944429084877","428.06","28.922","4749.63015381596","0.847833704802338","12"
"230","d4h5","262.899169651741","17.5001128358209","0.0555709151230301","419.52","29.919","4646.23110371002","0.850024093495104","11"
"231","d4h6","258.521982692308","17.0870012019231","0.0575062206248272","438.03","30.252","4664.71670381096","0.863518634951333","10"
"232","d4h7","266.455057281553","17.6950494174757","0.0569532761957423","438.03","32.579","4453.88398900302","0.865089606231809","9"
"233","d4h8","273.111664761905","18.3790745238095","0.0580591650539121","456.54","31.249","4342.55028381094","0.898654886348698","8"
"234","d4h9","284.748294930876","19.2905739631336","0.0599944705557092","496.4","33.244","4538.20759512705","0.898780856300348","7"
"235","d5h1","207.866740639269","12.892200913242","0.0501144164759725","354.35","25.93","4232.09330296848","0.691215592213259","18"
"236","d5h10","254.837371232877","17.2108736073059","0.0501144164759725","445.15","31.582","4045.61869237595","0.909803811583214","9"
"237","d5h11","278.61288161435","17.7339638565022","0.0510297482837529","489.29","31.914","4162.20617481647","0.915979291836399","8"
"238","d5h12","277.983533333333","18.3531671428571","0.0528604118993135","515.28","34.574","4460.39944871108","0.924815144141521","7"
"239","d5h13","283.715603982301","18.8136597787611","0.0517162471395881","507.99","33.244","4122.97782352159","0.920591027507712","6"
"240","d5h14","275.836662553192","18.3661405957447","0.0537757437070938","513.82","36.901","4370.90952035296","0.926379404808123","5"
"241","d5h15","287.780750877193","19.2959806578947","0.0521739130434783","509.44","34.574","5170.8908903749","0.912186381590981","4"
"242","d5h16","292.52027753304","20.0590341409692","0.0519450800915332","510.9","37.565","4728.44862528204","0.92350826144292","3"
"243","d5h17","294.967576271186","19.7504872033898","0.0540045766590389","534.24","39.228","4938.83330532641","0.932131484360356","2"
"244","d5h18","310.381457142857","21.1531176890756","0.0544622425629291","570.7","40.225","5130.90098087001","0.938678478695795","1"
"245","d5h19","405.846528103044","44.9421478688525","0.0977116704805492","720.32","82.777","47478.9657755634","0.567040438831995","0"
"246","d5h2","243.9638705","16.08337845","0.045766590389016","401.01","28.59","4447.00347216503","0.805882538995226","17"
"247","d5h3","247.955287922705","16.0084363285024","0.0473684210526316","408.13","28.922","4510.93019824498","0.841762389615934","16"
"248","d5h4","246.465644444444","16.5126817391304","0.0473684210526316","422.36","30.917","4435.8420331825","0.849327379796476","15"
"249","d5h5","253.461298076923","16.6634626442308","0.0475972540045767","426.64","30.252","4718.88462891651","0.854951552569349","14"
"250","d5h6","256.896470673077","17.0741850961538","0.0475972540045767","433.76","30.584","4691.14074755996","0.856303123177624","13"
"251","d5h7","248.908013333333","16.6836205238095","0.0480549199084668","429.48","30.917","4606.16840712505","0.864634480179209","12"
"252","d5h8","257.1644784689","17.3646996172249","0.0478260869565217","430.91","30.917","4648.16861138004","0.865320256596049","11"
"253","d5h9","260.089606603774","17.0703874528302","0.048512585812357","442.3","29.919","4349.08518755995","0.883554579151467","10"
"254","d6h1","188.526850537634","11.1324945878136","0.0663022813688213","276.91","25.93","3782.0468973745","0.55894640843215","17"
"255","d6h10","289.508401388889","18.6519293055556","0.0513307984790875","497.83","33.576","5158.449416555","0.88736609430346","8"
"256","d6h11","298.184747272727","19.0290231818182","0.0522813688212928","521.11","34.906","5257.28931039991","0.88657990271704","7"
"257","d6h12","288.030113656388","18.2577176211454","0.0539448669201521","521.11","34.906","4893.57753644499","0.899344418627776","6"
"258","d6h13","301.409314479638","19.5341435294118","0.0525190114068441","540.07","33.576","5092.21443557995","0.89113222695171","5"
"259","d6h14","306.400866063348","19.6424362443439","0.0525190114068441","545.91","34.906","5105.51102057996","0.900213442021333","4"
"260","d6h15","306.000716143498","19.967134529148","0.0529942965779468","541.53","34.906","5337.54257467994","0.893495313705355","3"
"261","d6h16","307.546775877193","20.0104530701754","0.0541825095057034","547.37","36.236","5465.93069970002","0.909402966550178","2"
"262","d6h17","308.874142731278","20.8220167400881","0.0539448669201521","542.99","37.898","5773.73348245001","0.896130660618922","1"
"263","d6h18","183.110411910112","27.1926595505618","0.105750950570342","592.58","62.831","20186.1815560199","0.367422484128303","0"
